,Stock,Price,Volume,20SMA,50SMA,RSI,compare
186,TSE,2.700000047683716,3967300.0,2.900000000000001,3.0119999885559086,35.11,True
187,WHAUP,4.179999828338623,4383200.0,4.260000014305115,4.356000022888184,42.15,True
188,B52,0.6000000238418579,1675000.0,0.6125000059604645,0.6633882415294646,42.89,True
189,BEAUTY,1.4600000381469727,9728000.0,1.5039999961853028,1.6365999960899353,37.77,True
190,BIG,0.5600000023841858,2412700.0,0.5880000054836274,0.6354000055789948,36.57,True
191,CPW,3.799999952316284,9192400.0,3.7490000247955324,3.795200004577637,51.24,True
192,CSS,1.8899999856948853,1817500.0,1.945499986410141,2.0209999752044676,40.96,True
194,FTE,1.7799999713897705,586300.0,1.8850000023841857,1.9594000005722045,30.71,True
195,KAMART,3.4000000953674316,693000.0,3.632000005245209,3.9059999418258666,21.16,True
197,MIDA,0.5099999904632568,4096200.0,0.5439999908208848,0.6069999933242799,37.84,True
198,RSP,2.059999942779541,602500.0,2.099999994039536,2.253999984264374,43.9,True
204,AQUA,0.4000000059604645,8275400.0,0.40349999517202384,0.4191999977827073,45.87,True
206,MACO,0.6600000262260437,35619500.0,0.6604999989271164,0.6994000005722046,49.26,True
207,MATCH,1.7100000381469727,9500.0,1.5894999980926514,1.6498000025749207,59.72,True
208,MONO,1.559999942779541,14318600.0,1.7114999890327456,1.8609999871253968,27.37,True
209,MPIC,1.559999942779541,6800.0,1.5584999799728396,1.5677999949455264,50.41,True
210,NMG,0.14000000059604645,2619200.0,0.13950000107288363,0.1505999997258186,48.43,True
211,POST,1.100000023841858,0.0,1.100000023841858,1.1000000238418581,50.55,True
212,SE-ED,1.9500000476837158,30200.0,2.01399998664856,2.057399978637695,41.58,True
213,TH,1.840000033378601,4199200.0,1.8714999914169312,1.9433999824523924,48.07,True
214,WAVE,0.75,1306900.0,0.7715000003576279,0.8630000007152558,40.79,True
215,BWG,0.6399999856948853,11778200.0,0.6819999992847443,0.751600000858307,33.96,True
216,GENCO,0.9100000262260437,1219900.0,0.9654999941587449,1.0561999905109407,37.1,True
217,PROS,3.0,4029100.0,2.929000031948089,3.0544000005722047,52.67,True
218,ERW,2.799999952316284,2158500.0,2.7619999885559086,2.918399991989136,50.19,True
219,GRAND,0.5299999713897705,2671300.0,0.5355000048875808,0.5478000020980834,42.45,True
220,SHR,3.240000009536743,2517000.0,3.2629999876022344,3.322800002098084,48.67,True
221,AAV,2.259999990463257,11955300.0,2.460000002384186,2.660799989700317,36.71,True
223,B,0.6700000166893005,109224100.0,0.6685000091791153,0.6908000075817108,50.0,True
224,BTSGIF,4.579999923706055,367800.0,4.548999953269959,4.788199987411499,45.85,True
226,NOK,1.0399999618530273,0.0,1.0399999618530273,1.4231999897956848,31.24,True
228,PORT,2.740000009536743,889600.0,2.8359999656677246,2.9615999698638915,34.82,True
229,THAI,3.319999933242798,0.0,3.3199999332427974,3.319999933242798,67.52,True
230,CCET,2.9800000190734863,5090700.0,3.1650000095367434,3.2968000125885015,37.49,True
232,ALT,2.700000047683716,3797800.0,2.771000015735627,2.779200005531311,45.81,True
235,JAS,2.6600000858306885,70866800.0,2.8619999766349795,2.8915999937057495,35.94,True
237,SVOA,2.1600000858306885,18721300.0,2.162000024318695,2.195600008964539,49.52,True
238,TRUE,3.059999942779541,76615400.0,3.1029999613761907,3.1503999996185303,47.55,True
239,TWZ,0.10000000149011612,36883100.0,0.10200000107288361,0.11039999932050706,45.87,True
