,Stock,Price,Volume,5EMA,20EMA,50EMA,100EMA,200EMA,RSI,compare
118,MJD,1.8300000429153442,350100.0,1.8816444800441494,1.9113837835428404,1.9804358205968442,1.974217968680443,1.740618273459401,39.11,True
119,MK,3.0799999237060547,70400.0,3.075171020629732,3.087857926213035,3.116046382826522,3.100216765524076,3.0772379537380026,46.5,True
120,NCH,1.2599999904632568,521300.0,1.2841387626159984,1.4120398864142452,1.5886586046535476,1.3591098959197856,1.0517877294881461,29.45,True
123,NVD,2.4800000190734863,15800.0,2.524960405626703,2.5016870778846316,2.6358660782993013,2.6762464653463236,2.238189461375367,44.59,True
125,PF,0.4300000071525574,2998000.0,0.4331002242949176,0.44811584389461695,0.47919131981804175,0.48059332016229717,0.4176439987505398,30.78,True
126,PLAT,2.7799999713897705,111000.0,2.7971792845368495,2.8612180389157733,3.088634800611716,3.077968838244906,2.710928587561601,37.36,True
128,PRECHA,1.0499999523162842,314000.0,1.1111253811471313,1.1315056994997572,1.207845111242957,1.1891322609150061,0.9688597490930407,38.84,True
131,RICHY,1.0399999618530273,820100.0,1.0221096538524073,1.07065917492127,1.143773669320852,1.109356355496629,0.8490504576951912,43.16,True
132,RML,0.8999999761581421,1471500.0,0.8950193822671737,0.9266074254465315,0.9548039364411481,0.8548129564228133,0.7030112611182909,45.55,True
133,S,1.8899999856948853,3476000.0,1.8644448045252595,1.946050455413377,2.1391949405770085,2.105708203944807,1.7387172612651725,40.31,True
134,SAMCO,1.4700000286102295,136200.0,1.4616549705272233,1.549544152422147,1.7281056434517335,1.6380566914165773,1.3656529120859056,34.93,True
135,SC,2.9800000190734863,621800.0,2.99665083812121,3.020253800766966,3.1302163144897395,3.136077811102064,2.8414527466579362,39.56,True
136,SENA,3.819999933242798,463800.0,3.8353296795808096,3.9012316468569104,4.093929933861797,4.201040126596757,3.6487792839655815,38.04,True
137,SIRI,1.1699999570846558,27363000.0,1.1656798995485436,1.1796214304680974,1.2982166523472785,1.1382891519546094,0.9193254073783662,44.59,True
141,WIN,0.7300000190734863,3146100.0,0.7636556783143369,0.7645811747328314,0.7096442824905285,0.5801263926359231,0.43607632036970984,48.59,True
142,BJCHI,1.909999966621399,475200.0,1.9108659956697078,1.945262334709566,2.0813860007590512,1.9292145926385666,1.7412077326023998,46.12,True
144,CNT,1.7899999618530273,4300.0,1.7557369871846318,1.8335543923551285,2.02247221937687,1.8334642121114928,1.4777856668587848,42.64,True
145,EMC,0.25,17227200.0,0.2588594843134152,0.2715508108788671,0.2964577642309887,0.2661045137170415,0.20017028463451342,29.45,True
146,ITD,2.0799999237060547,9500200.0,2.0958077632098018,2.194533388291595,2.495245391278698,2.009796306932999,1.4386283105918842,40.02,True
147,NWR,1.0099999904632568,11795000.0,1.0272722400687564,1.0190347351396702,1.158367944207817,0.9319096181974033,0.7205375821079582,46.96,True
148,PLE,0.8100000023841858,267400.0,0.810660538739042,0.8300037012031655,0.9321046840835552,0.8702527310932914,0.7794495161864148,39.37,True
149,PYLON,4.179999828338623,116500.0,4.180438566821004,4.236346657307719,4.538924176023378,4.397055185191574,4.064310817686717,42.2,True
151,SQ,2.299999952316284,3182900.0,2.576846905207918,2.512883007306298,2.689986355762514,2.4398327959808817,2.0591111811700102,38.66,True
152,STPI,4.079999923706055,484000.0,4.073170078324609,4.339208627728131,4.58436106991783,4.272556613066642,3.8612306658300186,38.31,True
153,SYNTEC,1.840000033378601,478000.0,1.8501805904017286,1.9155979114394055,2.070903972535129,2.0255947832809977,1.6708556474061464,40.53,True
154,TEAMG,2.240000009536743,1616100.0,2.2690012386552225,2.2908021332843496,2.3470848086255676,2.3149660011008724,2.191344880289594,43.37,True
159,7UP,1.25,205606700.0,1.236207352232769,2.5179086085087623,1.9622314865679453,1.3290818685807677,0.7880792301227342,30.99,True
161,ACC,0.8399999737739563,395400.0,0.8351710706976333,0.9138915381601324,0.9515854657395747,0.8949999264005243,0.6888739944048803,37.28,True
163,AGE,2.9000000953674316,46191300.0,3.4104276020718376,3.2406911995605676,3.519596525131423,3.0604421325932125,2.1953718371066038,37.64,True
165,AKR,1.0,6057900.0,1.0159847020026693,1.0238743720689814,1.0454123587244062,1.0063165071190745,0.7395391037271699,45.33,True
166,ETC,2.9000000953674316,4919700.0,2.986211204112513,2.9905629004471113,3.0785899808993635,3.124316292561721,2.426275958134206,42.9,True
168,GUNKUL,4.78000020980835,143987800.0,4.763787981412993,4.807526652229992,4.523880529811072,4.080824349480153,3.0984682079205843,52.75,True
171,RPC,0.8700000047683716,1452100.0,0.859386605271651,0.888752015765255,0.9569733549748931,0.8729086672101224,0.6773487059464515,45.83,True
173,SCI,1.8300000429153442,1840300.0,1.8866983330518612,2.1210286783988406,2.1190757018930055,1.8754067388708349,1.57629338560422,31.72,True
174,SCN,2.5999999046325684,5893100.0,2.661813728527131,2.6827487293321743,2.9016719227063494,2.57766327944431,2.091652167226332,42.3,True
175,SKE,1.0399999618530273,3799500.0,1.0461751668884052,1.0767257431651869,1.0883186668349154,1.0240621181737548,0.8065796290866067,44.21,True
178,SUSCO,3.0199999809265137,1015800.0,3.02907883448112,3.0921571820115883,3.1880678409461742,3.254095643919433,2.9874468233654765,38.76,True
180,TCC,0.4399999976158142,1007600.0,0.4414644365000995,0.452066867617537,0.4541985674564148,0.4470607008829901,0.3026086593058448,46.5,True
182,TSE,2.700000047683716,3967300.0,2.7284616213224435,2.961303359568584,3.031180146817119,2.82351303118619,2.6595817621396827,35.11,True
184,B52,0.6000000238418579,1675000.0,0.6119597252976334,0.6139063973713376,0.6764127902134907,0.6023954763698948,0.3863712451486439,42.89,True
187,CPW,3.740000009536743,1733200.0,3.840377854166424,3.747587846550072,3.8512895841396353,3.627048182456373,2.768298316319132,47.85,True
188,CSS,1.899999976158142,1137800.0,1.8892348858467762,1.9583162566736971,2.0461862010155722,2.133315129020181,1.8975829722660744,42.53,True
189,FN,2.0999999046325684,2145900.0,2.194069922446681,2.517561718634458,2.386272136033246,1.9160602016583566,1.5028045780421835,36.72,True
190,FTE,1.7699999809265137,230100.0,1.7986301499891573,1.8944518517725133,1.9740143605312477,1.9383366130138913,1.7280282724067624,29.73,True
194,RSP,2.0,243300.0,2.0169182181563152,2.114597272751176,2.2821289327444085,2.2494263769200367,1.945755448626095,39.52,True
195,CHG,4.039999961853027,61165600.0,4.028717701361379,4.106029901669862,3.826474486624354,3.3635924491150573,2.885370501073925,50.53,True
197,PRINC,4.300000190734863,5759900.0,4.502430352624431,4.667596657966103,4.576501302270577,4.490653854691243,3.89506040465901,37.12,True
198,VIBHA,2.299999952316284,7549000.0,2.315329698654296,2.396272213850747,2.3068162711713627,2.1376301107903903,1.8036060724704537,43.13,True
199,WPH,2.1600000858306885,645600.0,2.211160906668625,2.2326662162341453,2.1081056468098174,2.1368621816979756,1.852113012819514,47.56,True
201,GPI,1.8700000047683716,6365300.0,2.0377906568568935,2.104999107786198,2.061318757596782,1.8855881621128934,1.599220027086131,37.04,True
209,TH,1.840000033378601,4199200.0,1.8380545308321132,1.8600232279577331,1.9686025448149254,1.3530563422989668,0.8425324936866249,48.07,True
210,WAVE,0.75,1306900.0,0.7518803767486082,0.7772897965186468,0.8904058644226405,0.7790537261498953,0.699207571514893,40.79,True
211,BWG,0.6399999856948853,11778200.0,0.6426590357235801,0.6936450543129621,0.768552474388137,0.7469794764147386,0.5848221895769543,33.96,True
212,GENCO,0.9100000262260437,1219900.0,0.9231543388262285,0.9803300734360897,1.0802401843035225,0.9690406956016017,0.6842105951264802,37.1,True
215,SHR,3.240000009536743,684500.0,3.2200271754741845,3.2723819805924395,3.365430038617226,3.215845012248294,2.6958548369190005,48.65,True
217,ASIMAR,2.8399999141693115,9311600.0,2.8061304848562205,2.8556728860584353,2.7553007052691054,2.575803307754905,1.9665666834728222,52.02,True
222,NYT,4.78000020980835,29605800.0,5.142106119914357,4.8381541292958055,4.625445912243545,4.338433826874291,3.809145957153941,47.61,True
225,CCET,2.9800000190734863,5090700.0,2.985368577629561,3.2023593945471416,3.3181752312959083,2.956266953114064,2.459417130055755,37.49,True
229,INET,4.21999979019165,22095600.0,4.528980460146198,4.557345311472872,4.185071437044332,4.029420076211602,3.8798954752686754,43.61,True
232,SVOA,2.1600000858306885,18721300.0,2.1957414047136403,2.1688321223959073,2.2061248131171207,2.0482617057633203,1.613090452877346,49.52,True
234,TWZ,0.10000000149011612,36883100.0,0.10146444146549446,0.10227002895098664,0.11269554665799418,0.1072631156370301,0.08545050394897427,45.87,True
