,Name,Price,Volume,Avg
0,1DIV,10.359999656677246,32100,48140.0
1,BMSCG,10.880000114440918,10100,139400.0
2,BMSCITH,11.130000114440918,345900,264040.0
3,BSET100,10.0600004196167,425000,181620.0
4,CHINA,8.149999618530273,293800,402060.0
5,EBANK,4.619999885559082,28600,15660.0
6,ENGY,6.050000190734863,3600,15880.0
7,ENY,7.21999979019165,3100,9860.0
8,GLD,2.4200000762939453,604100,1680080.0
9,TDEX,9.649999618530273,570500,651860.0
10,TH100,4.389999866485596,3800,8640.0
11,3K-BAT,70.75,200,340.0
12,A,4.980000019073486,2600,3000.0
13,ABICO,5.150000095367432,111000,48780.0
14,ABM,1.2699999809265137,1035900,643980.0
15,ABPIF,2.5,374000,779940.0
16,ACE,3.740000009536743,21663900,62810180.0
17,ADVANC,173.5,11997400,7505580.0
18,AEONTS,202.0,522000,471700.0
19,AF,0.7699999809265137,550000,430840.0
20,AHC,13.800000190734863,26800,36720.0
21,AIMIRT,12.300000190734863,670400,282520.0
22,AIRA,2.0799999237060547,83000,652000.0
23,AIT,21.899999618530273,156000,183860.0
24,AKR,1.1200000047683716,112629300,14731920.0
25,ALL,3.2799999713897705,18345900,73254880.0
26,ALLA,2.0999999046325684,1353500,9558460.0
27,ALT,2.9000000953674316,4285500,8101720.0
28,ALUCON,178.5,700,1880.0
29,AMARIN,6.150000095367432,50400,213020.0
30,AMATA,19.399999618530273,13883700,13782260.0
31,AMATAR,9.5,27100,141120.0
32,AOT,64.75,31284100,19734200.0
33,AP,8.399999618530273,12446500,21452820.0
34,APCO,3.819999933242798,253300,416760.0
35,APP,3.700000047683716,564700,657180.0
36,AQUA,0.4300000071525574,6765100,25383720.0
37,ARROW,8.550000190734863,108600,129900.0
38,ASAP,2.5399999618530273,640200,1547000.0
39,ASEFA,4.579999923706055,151500,183420.0
40,ASIA,5.75,5600,11920.0
41,ASIAN,15.100000381469727,7399400,17905900.0
42,ASK,32.5,537000,1093040.0
43,ASN,4.059999942779541,4100,26580.0
44,ATP30,1.2699999809265137,1706300,558140.0
45,AUCT,10.600000381469727,1715700,3657460.0
46,AWC,5.099999904632568,149919300,103662880.0
47,AYUD,36.75,1900,10100.0
48,B-WORK,10.0,159800,214780.0
49,BAFS,26.75,242200,718360.0
50,BAM,18.700000762939453,9449900,16781740.0
51,BAY,33.75,788900,1357600.0
52,BBL,120.5,14739600,8848120.0
53,BC,1.75,1221000,4089880.0
54,BCP,26.75,4146100,6523640.0
55,BCPG,14.0,5579300,5311040.0
56,BCT,45.25,5900,25580.0
57,BDMS,22.0,34397200,23613140.0
58,BEM,8.350000381469727,39023400,68383760.0
59,BFIT,40.25,1362000,2152320.0
60,BGC,10.300000190734863,1022400,1565720.0
61,BGT,1.1299999952316284,293400,190380.0
62,BH,133.0,2425500,1175560.0
63,BIG,0.6700000166893005,31003500,16197900.0
64,BJC,35.25,3631600,4750580.0
65,BKD,2.359999895095825,1792300,648920.0
66,BKI,281.0,95600,142300.0
67,BKKCP,11.100000381469727,1900,17720.0
68,BLA,30.75,1702700,2661240.0
69,BLAND,1.149999976158142,16090800,47402620.0
70,BOFFICE,9.399999618530273,62100,176580.0
71,BR,2.8399999141693115,2093700,1414300.0
72,BROCK,1.7000000476837158,359500,97680.0
73,BTNC,11.699999809265137,400,480.0
74,BTSGIF,5.0,1960100,4351040.0
75,BTW,1.2100000381469727,137800,383520.0
76,BWG,0.8199999928474426,108296900,254942600.0
77,CAZ,2.9000000953674316,4504300,2095020.0
78,CBG,134.0,3212200,5127280.0
79,CGD,0.7699999809265137,73692600,80594960.0
80,CHARAN,31.5,2100,43460.0
81,CHEWA,1.0800000429153442,4924400,19035260.0
82,CHO,1.0499999523162842,6447300,13833840.0
83,CIMBT,0.8899999856948853,10248100,13341440.0
84,CITY,2.5199999809265137,671400,209820.0
85,CM,2.9000000953674316,156200,205980.0
86,CMAN,2.759999990463257,429900,360740.0
87,CMC,1.3600000143051147,1772600,1572820.0
88,CMO,1.399999976158142,4592900,4184160.0
89,COM7,69.5,3716600,8238100.0
90,CPALL,60.75,19272900,20228060.0
91,CPF,27.25,8092000,34123380.0
92,CPH,4.119999885559082,35400,9680.0
93,CPNCG,10.899999618530273,919500,487780.0
94,CPNREIT,21.0,5109000,1604060.0
95,CPT,0.9300000071525574,2216800,2328260.0
96,CPTGF,9.149999618530273,339800,36960.0
97,CRD,0.7400000095367432,312200,510700.0
98,CSC,52.75,3200,21200.0
99,CSR,61.25,0,100.0
100,CSS,2.0399999618530273,5818500,6567660.0
101,CTARAF,5.050000190734863,48100,236940.0
102,CTW,7.849999904632568,48500,120420.0
103,D,4.300000190734863,233900,401740.0
104,DCC,3.0799999237060547,17673800,21492300.0
105,DIF,12.699999809265137,21303300,10175900.0
106,DOD,13.399999618530273,2308700,4401380.0
107,DRT,7.900000095367432,1318300,1250000.0
108,DTAC,31.75,14479600,12544700.0
109,DTC,8.25,31500,233300.0
110,EA,63.75,53408600,8314580.0
111,EASTW,10.0,1224100,2758080.0
112,EGATIF,12.300000190734863,1105500,1633560.0
113,EGCO,176.5,1765500,1353920.0
114,ERWPF,4.5,53200,104040.0
115,ESSO,8.600000381469727,13617900,25784560.0
116,ETC,3.180000066757202,16154500,46234560.0
117,ETE,2.680000066757202,1954000,6535340.0
118,EVER,0.41999998688697815,30532200,58375620.0
119,FLOYD,2.0799999237060547,7386800,1097460.0
120,FMT,30.25,53000,10140.0
121,FNS,4.71999979019165,3333800,4346440.0
122,FPT,13.0,121400,104400.0
123,FTREIT,13.199999809265137,1893000,334720.0
124,FUTUREPF,14.5,298200,232840.0
125,FVC,1.0099999904632568,8546200,11530620.0
126,GAHREIT,8.149999618530273,300,9480.0
127,GC,11.0,1345800,376880.0
128,GFPT,10.899999618530273,2096200,3308420.0
129,GGC,10.600000381469727,1087600,936360.0
130,GIFT,2.240000009536743,481500,710120.0
131,GJS,0.4000000059604645,175498100,181235080.0
132,GLAND,2.1600000858306885,78800,100960.0
133,GLOBAL,22.100000381469727,5306800,14915180.0
134,GOLDPF,6.900000095367432,21700,7460.0
135,GPI,1.840000033378601,167500,357300.0
136,GRAND,0.5799999833106995,7993500,11630820.0
137,GSC,1.7200000286102295,168800,901960.0
138,GTB,0.8799999952316284,762900,742700.0
139,GULF,34.75,12525700,17057380.0
140,GVREIT,10.399999618530273,1014700,286140.0
141,HARN,2.619999885559082,339600,1057920.0
142,HMPRO,14.699999809265137,16093300,27215620.0
143,HPF,4.71999979019165,173500,104500.0
144,HPT,0.9900000095367432,1879100,1485780.0
145,HREIT,8.5,157100,486280.0
146,HTC,38.25,169600,210600.0
147,HUMAN,9.5,2389200,709740.0
148,ICC,32.0,2200,5980.0
149,ICHI,12.800000190734863,10054800,12714060.0
150,ICN,4.0,6201100,8347700.0
151,IFS,2.7200000286102295,366000,523700.0
152,IHL,4.599999904632568,2858400,11841840.0
153,IIG,25.5,143700,259480.0
154,ILM,16.299999237060547,1440100,1383480.0
155,IMPACT,19.0,2355400,138640.0
156,IND,1.9500000476837158,8030800,1414460.0
157,INOX,1.149999976158142,14490300,16991680.0
158,INSET,3.880000114440918,48131900,12758580.0
159,INSURE,33.0,400,100.0
160,INTUCH,64.25,5675800,7008840.0
161,IRC,18.899999618530273,51200,50820.0
162,IRCP,1.590000033378601,2071200,10431180.0
163,IRPC,4.019999980926514,127046600,236085740.0
164,IVL,43.25,60532900,29833600.0
165,J,3.2200000286102295,2851300,16274500.0
